Age,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Stress_Index,GPA,Semester_GPA,CGPA,Dropout,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science,Exam_Score,Absence_Rate,Academic_Performance,Dropout_Risk_Index
23,3,72,0,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,52.0,28,56.8,22.200000000000003
23,1,74,0,6,0,0,0,1,1,1,1,0,0,0,0,0,0,1,33.0,26,38.699999999999996,37.4
19,4,76,1,3,2,2,2,0,1,0,0,0,0,1,0,0,0,1,61.0,24,65.5,16.6
20,4,91,3,3,2,2,2,0,1,0,1,0,0,1,0,0,1,0,62.5,9,66.55,18.6
21,3,85,5,6,0,0,0,1,1,0,0,1,0,0,1,0,0,0,39.5,15,43.25,47.0
23,3,71,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,47.5,29,56.05,25.6
19,4,78,2,4,3,4,4,0,1,1,0,0,1,0,0,0,0,0,57.0,22,60.3,24.799999999999997
20,4,81,3,3,2,2,2,0,1,1,1,1,0,0,0,0,0,1,57.5,19,63.05,22.6
18,6,100,0,5,3,3,3,0,1,1,1,0,0,0,0,0,1,0,88.0,0,79.6,7.0
18,4,82,1,6,1,1,1,0,1,0,0,0,1,0,0,0,1,0,58.0,18,56.199999999999996,29.200000000000003
22,4,85,1,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,59.5,15,57.25,28.0
24,3,74,2,4,3,3,3,0,1,0,1,0,0,1,0,1,0,0,47.0,26,53.3,29.4
20,2,87,0,5,3,3,3,0,1,0,0,0,0,1,0,0,0,1,49.5,13,52.65,24.2
23,2,93,2,6,4,4,4,0,1,1,0,0,1,0,0,0,0,0,44.5,7,46.75,34.8
21,3,80,1,4,1,1,1,0,1,0,0,0,0,0,0,0,1,0,53.0,20,57.49999999999999,23.0
19,4,86,4,3,2,2,2,0,1,0,0,0,0,0,0,0,1,0,57.0,14,62.7,24.6
21,4,86,3,4,2,2,2,0,1,0,1,0,0,1,1,0,0,0,58.0,14,60.99999999999999,25.6
24,2,82,1,4,3,3,3,0,1,0,0,0,1,0,0,1,0,0,46.0,18,52.599999999999994,25.2
20,1,92,1,5,2,2,2,1,1,1,0,0,0,0,0,0,0,0,41.0,8,46.7,29.200000000000003
24,3,75,2,5,4,4,4,0,1,1,0,0,0,0,0,0,1,0,45.5,25,49.849999999999994,34.0
17,5,75,1,5,4,4,3,0,0,0,0,0,0,1,0,1,0,0,64.5,25,63.15,24.0
22,3,82,2,4,2,2,2,0,1,1,0,1,0,0,0,0,0,1,51.0,18,56.099999999999994,26.200000000000003
21,4,79,2,5,3,3,3,0,1,0,0,0,1,0,0,0,0,1,55.5,21,56.849999999999994,29.4
20,1,58,3,6,1,1,1,1,1,1,0,0,0,0,0,0,0,1,16.0,42,26.799999999999997,55.8
21,4,76,2,6,0,1,1,0,1,0,0,0,0,1,0,0,1,0,52.0,24,52.0,35.6
17,4,65,0,4,1,1,1,1,1,0,1,0,0,0,0,1,0,0,56.5,35,59.949999999999996,22.0
20,4,79,2,5,2,1,1,0,0,0,0,0,0,0,0,1,0,0,55.5,21,56.849999999999994,29.4
21,5,87,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,66.5,13,59.75,29.200000000000003
24,5,82,2,5,0,0,0,0,1,0,1,0,1,0,0,0,1,0,65.0,18,63.5,25.200000000000003
19,6,83,0,5,1,1,1,0,1,0,0,0,0,1,0,0,0,1,79.5,17,73.65,13.8
19,2,80,2,8,3,3,3,1,1,0,0,0,0,1,0,0,0,0,34.0,20,34.599999999999994,50.0
19,4,83,0,7,3,2,2,0,1,0,0,1,0,0,0,0,1,0,59.5,17,54.849999999999994,29.799999999999997
23,2,100,1,4,3,3,3,0,1,0,1,0,1,0,0,0,0,0,55.0,0,58.9,18.0
21,4,79,3,7,1,1,1,0,1,1,0,0,0,1,0,1,0,0,48.5,21,47.14999999999999,43.4
19,4,81,0,5,2,2,2,0,1,0,0,0,1,0,0,0,0,0,62.5,19,61.75,20.6
22,1,75,1,3,2,2,2,1,1,0,0,0,0,0,0,0,0,1,36.5,25,48.349999999999994,26.0
21,4,66,1,7,2,2,2,1,1,0,0,0,1,0,0,0,0,0,48.0,34,46.8,40.6
23,3,84,0,4,0,0,0,0,0,1,0,0,0,1,1,0,0,0,58.0,16,60.99999999999999,17.4
19,4,91,3,5,3,3,3,0,0,0,0,0,0,0,0,1,0,0,58.5,9,58.949999999999996,28.6
20,3,100,0,4,3,3,3,0,1,0,0,0,1,0,1,0,0,0,66.0,0,66.6,11.0
20,6,80,3,9,0,0,0,1,1,0,1,0,0,0,0,0,0,0,61.0,20,51.099999999999994,47.0
17,4,79,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,65.5,21,68.64999999999999,11.399999999999999
21,4,74,0,5,1,1,1,0,1,1,0,0,0,1,0,1,0,0,59.0,26,59.3,23.4
21,3,95,4,4,2,2,2,0,0,0,0,1,0,0,1,0,0,0,51.5,5,56.449999999999996,29.0
21,1,72,2,6,1,2,2,1,1,0,1,0,0,0,0,0,1,0,26.0,28,33.8,46.2
20,2,87,0,5,1,1,1,0,1,1,1,1,0,0,0,1,0,0,49.5,13,52.65,24.2
17,6,96,1,4,4,4,4,0,1,0,1,0,1,0,1,0,0,0,85.0,4,79.89999999999999,7.600000000000001
20,4,80,2,5,2,2,2,0,1,1,1,0,1,0,0,0,0,1,56.0,20,57.199999999999996,29.0
20,4,72,1,7,2,2,2,0,1,1,0,0,0,0,0,0,1,0,51.0,28,48.89999999999999,38.2
19,4,88,2,2,3,3,3,0,1,0,1,0,0,1,1,0,0,0,66.0,12,71.39999999999999,10.8
20,5,71,2,4,1,1,1,0,1,0,0,0,0,1,0,0,0,1,61.5,29,63.449999999999996,24.6
21,4,91,0,6,1,1,1,0,1,1,0,0,0,0,0,0,0,0,65.5,9,61.449999999999996,21.6
25,4,97,4,5,3,3,3,0,1,1,1,0,0,0,0,0,1,0,58.5,3,58.949999999999996,30.200000000000003
21,4,63,3,5,1,1,1,1,1,1,0,1,0,0,0,0,1,0,44.5,37,49.15,39.8
21,4,95,1,5,1,1,1,0,0,0,0,1,0,0,0,0,0,1,66.5,5,64.55,19.0
20,3,87,2,6,1,1,1,0,1,0,0,1,0,0,1,0,0,0,49.5,13,50.25,34.2
17,6,93,0,6,3,4,4,0,0,0,1,0,0,0,1,0,0,0,82.5,7,73.35,14.799999999999997
20,2,76,1,6,0,1,1,0,0,1,0,0,0,0,1,0,0,0,39.0,24,42.9,37.6
21,3,87,2,6,2,2,2,0,1,1,0,0,1,0,0,0,0,1,49.5,13,50.25,34.2
26,1,83,2,4,1,2,2,1,1,0,0,1,0,0,0,0,0,0,35.5,17,45.25,31.799999999999997
20,5,75,1,7,1,1,1,0,1,1,0,0,0,1,1,0,0,0,60.5,25,55.55,34.0
21,4,79,3,4,3,2,2,0,1,0,1,0,0,0,1,0,0,0,54.5,21,58.55,28.4
20,6,86,0,5,2,2,2,0,1,0,1,0,0,1,0,1,0,0,81.0,14,74.69999999999999,12.600000000000001
18,3,73,2,2,3,2,2,0,0,1,0,0,0,1,0,0,0,1,50.5,27,60.55,19.8
23,2,72,2,4,2,2,2,0,1,1,1,0,1,0,0,0,0,1,38.0,28,47.0,33.2
22,4,56,0,5,0,0,0,1,1,1,1,0,0,0,0,0,1,0,50.0,44,53.0,30.6
22,4,75,3,5,2,1,1,0,0,0,1,1,0,0,0,0,0,0,50.5,25,53.349999999999994,35.0
19,3,84,4,7,2,2,2,0,1,0,0,1,0,0,0,0,1,0,40.0,16,41.2,48.4
24,4,77,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,62.5,23,64.15,17.200000000000003
17,3,92,1,4,1,1,1,0,1,1,0,0,0,0,0,1,0,0,59.0,8,61.699999999999996,18.2
22,5,70,2,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,61.0,30,63.099999999999994,25.0
25,5,86,3,5,3,3,3,0,1,1,0,0,0,1,0,0,0,1,64.0,14,62.8,27.6
18,4,79,1,8,2,1,1,1,1,1,0,1,0,0,0,1,0,0,52.5,21,47.55,40.4
19,5,81,0,1,3,4,4,0,1,0,0,0,0,0,0,0,0,1,78.5,19,82.55,0.0
21,3,87,1,4,1,1,1,0,1,0,1,1,0,0,0,0,0,0,56.5,13,59.949999999999996,20.2
19,3,60,2,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,40.0,40,48.4,35.0
17,1,64,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,35.0,36,52.099999999999994,20.4
21,4,81,2,5,1,1,1,0,1,0,0,0,0,1,0,1,0,0,56.5,19,57.55,28.6
18,4,80,2,4,2,2,2,0,1,0,1,0,0,0,0,0,0,0,58.0,20,60.99999999999999,24.0
22,5,70,3,4,2,2,2,0,1,0,0,0,0,0,0,0,1,0,58.0,30,60.99999999999999,29.0
19,4,98,1,3,2,2,2,0,1,0,0,0,0,1,0,0,0,1,72.0,2,73.2,7.800000000000001
24,3,72,1,5,1,1,1,0,1,1,1,0,1,0,0,0,1,0,47.0,28,50.9,31.200000000000003
19,3,77,2,3,2,2,2,0,1,1,0,0,1,0,0,1,0,0,50.5,23,58.14999999999999,23.200000000000003
20,3,91,2,4,1,1,1,0,0,0,1,1,0,0,0,1,0,0,55.5,9,59.24999999999999,22.6
22,5,76,3,5,3,3,3,0,1,0,0,0,1,0,0,0,0,0,59.0,24,59.3,31.6
18,6,75,1,7,1,0,1,0,1,0,0,0,1,0,1,0,0,0,68.5,25,61.14999999999999,31.0
21,5,85,1,6,0,0,0,0,1,1,0,0,1,0,0,1,0,0,67.5,15,62.85,25.0
23,6,76,1,6,3,3,3,0,0,0,0,0,0,0,0,1,0,0,71.0,24,65.3,25.6
17,4,85,2,9,3,3,2,1,1,0,0,1,0,0,0,0,0,1,50.5,15,43.74999999999999,47.0
21,2,86,1,6,2,2,2,0,1,0,1,0,1,0,1,0,0,0,44.0,14,46.4,33.6
21,2,85,4,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,40.5,15,51.15,31.0
22,2,91,3,4,2,2,2,0,1,0,1,1,0,0,0,0,1,0,44.5,9,51.55,29.6
18,3,78,1,4,1,1,1,0,1,0,1,1,0,0,1,0,0,0,52.0,22,56.8,23.799999999999997
18,3,78,0,5,2,2,2,0,1,0,1,1,0,0,0,0,1,0,53.0,22,55.099999999999994,24.799999999999997
22,4,81,3,4,2,3,3,0,1,0,0,1,0,0,0,0,0,1,55.5,19,59.24999999999999,27.6
21,3,59,5,3,3,3,3,1,1,0,0,0,0,0,0,1,0,0,32.5,41,45.55,42.400000000000006
21,4,83,0,7,2,2,2,0,1,1,1,0,0,1,0,1,0,0,59.5,17,54.849999999999994,29.799999999999997
21,7,79,2,7,0,1,1,0,1,1,1,0,0,0,1,0,0,0,75.5,21,66.05,30.4
19,5,85,1,5,3,3,3,0,1,1,1,0,0,1,0,0,1,0,69.5,15,66.65,20.0
21,4,74,1,3,3,3,3,0,1,0,0,1,0,0,0,0,0,0,60.0,26,64.8,17.4
21,5,92,4,5,4,4,4,0,1,0,1,0,0,0,1,0,0,0,64.0,8,62.8,29.200000000000003
19,2,80,2,4,3,3,3,0,0,1,0,0,0,0,1,0,0,0,42.0,20,49.8,30.0
25,2,88,1,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,43.0,12,43.3,37.8
22,5,77,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,1,66.5,23,69.35,17.200000000000003
18,4,85,2,6,2,2,2,0,1,0,0,0,1,0,0,0,1,0,56.5,15,55.15,32.0
22,4,69,0,6,1,1,1,1,1,1,1,0,0,0,1,0,0,0,54.5,31,53.75,30.4
18,2,64,4,7,2,2,2,1,1,0,1,0,0,0,0,0,0,1,22.0,36,28.599999999999998,59.400000000000006
22,3,80,1,5,2,2,2,0,1,0,0,0,1,0,1,0,0,0,51.0,20,53.699999999999996,28.0
23,3,81,1,4,1,1,1,0,1,1,0,1,0,0,0,1,0,0,53.5,19,57.849999999999994,22.6
19,3,81,1,9,1,1,1,1,1,0,0,1,0,0,1,0,0,0,43.5,19,38.85,47.6
23,6,79,3,3,2,2,2,0,1,1,0,0,1,0,0,0,0,1,72.5,21,73.55,17.4
21,6,78,2,6,2,2,2,0,1,0,0,0,1,0,0,1,0,0,69.0,22,63.9,28.799999999999997
22,5,87,1,5,2,3,3,0,1,1,1,0,0,0,0,0,0,0,70.5,13,67.35,19.200000000000003
25,4,96,0,6,2,2,2,0,1,0,0,0,1,0,0,0,1,0,68.0,4,63.199999999999996,19.6
20,3,100,2,6,4,4,4,0,1,0,1,1,0,0,0,0,0,0,56.0,0,54.8,29.0
19,2,90,1,3,4,3,3,0,1,1,0,0,1,0,0,0,0,0,52.0,10,59.2,17.0
19,4,63,0,3,0,1,0,1,1,1,1,0,1,0,0,0,0,1,57.5,37,63.05,17.8
19,5,90,0,3,4,3,3,0,0,1,1,0,0,1,0,0,1,0,79.0,10,78.1,4.0
20,5,90,3,4,4,3,3,0,1,0,0,1,0,0,0,1,0,0,68.0,10,68.0,21.0
21,4,81,1,5,1,0,0,0,1,1,1,0,0,0,0,0,1,0,59.5,19,59.65,24.6
21,4,89,2,4,3,3,3,0,1,0,1,0,1,0,0,0,1,0,62.5,11,64.15,20.4
22,3,84,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,59.0,16,66.5,11.399999999999999
21,3,81,0,7,2,2,2,0,1,0,0,1,0,0,1,0,0,0,50.5,19,48.55,33.6
24,2,84,4,2,1,1,1,0,1,0,0,1,0,0,1,0,0,0,42.0,16,54.599999999999994,26.4
20,3,77,1,6,2,2,1,0,1,0,0,0,0,1,1,0,0,0,47.5,23,48.85,34.2
27,4,67,2,4,3,3,3,1,1,1,0,0,1,0,1,0,0,0,51.5,33,56.449999999999996,29.200000000000003
22,3,67,6,7,0,0,0,1,1,0,1,0,0,0,0,0,1,0,25.5,33,31.049999999999997,63.2
19,2,89,5,4,2,2,2,1,1,0,0,0,1,0,0,0,0,1,37.5,11,46.65,38.4
18,4,73,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,61.5,27,68.25,12.8
22,4,69,2,5,3,2,2,1,0,0,0,1,0,0,1,0,0,0,50.5,31,53.349999999999994,33.4
20,3,69,3,4,1,1,1,1,1,1,1,1,0,0,0,0,0,1,41.5,31,49.449999999999996,35.4
22,3,78,0,7,2,2,2,0,1,0,1,1,0,0,0,0,1,0,49.0,22,47.5,34.8
22,0,94,1,6,1,1,1,1,1,0,1,0,1,0,0,0,0,0,32.0,6,38.0,36.4
20,4,80,1,4,3,3,3,0,1,1,0,1,0,0,0,1,0,0,61.0,20,63.099999999999994,20.0
19,4,70,2,3,4,3,4,0,1,0,1,1,0,0,0,0,0,0,55.0,30,61.3,23.0
17,5,93,1,3,3,3,3,0,0,1,0,0,0,1,0,0,1,0,77.5,7,77.05,6.800000000000001
20,3,84,1,4,2,2,2,0,1,0,0,0,0,0,1,0,0,0,55.0,16,58.9,21.4
22,4,79,1,8,1,1,2,1,1,0,0,0,0,1,1,0,0,0,52.5,21,47.55,40.4
21,5,85,3,5,2,2,2,0,0,0,0,0,0,0,0,1,0,0,63.5,15,62.449999999999996,28.0
18,4,82,0,7,2,2,2,0,1,1,1,0,0,1,0,1,0,0,59.0,18,54.5,30.200000000000003
21,4,76,1,2,2,2,2,0,1,1,0,0,1,0,0,0,0,1,63.0,24,69.3,11.600000000000001
21,4,77,2,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0,60.5,23,67.55,15.200000000000003
19,1,72,4,3,3,3,3,1,1,1,1,0,0,1,0,0,0,0,26.0,28,41.0,39.2
21,4,78,3,6,0,0,0,0,1,1,1,0,0,1,1,0,0,0,50.0,22,50.6,38.8
21,2,89,0,5,2,3,3,0,0,0,0,0,1,0,0,0,0,0,50.5,11,53.349999999999994,23.4
18,2,89,0,7,1,1,1,0,1,1,0,0,0,0,0,0,0,0,46.5,11,45.75,33.4
21,4,80,2,7,1,2,2,0,1,0,0,1,0,0,0,0,1,0,52.0,20,49.599999999999994,39.0
22,5,80,3,3,2,2,2,0,1,1,0,0,0,0,0,0,0,1,65.0,20,68.3,20.0
23,5,73,1,7,2,2,2,0,1,0,0,0,0,0,0,0,0,1,59.5,27,54.849999999999994,34.8
23,4,85,1,8,3,2,2,1,1,1,1,0,1,0,0,0,0,0,55.5,15,49.64999999999999,38.0
18,4,70,4,7,2,2,2,0,0,0,0,0,0,0,0,1,0,0,41.0,30,41.9,51.0
18,5,88,5,2,2,2,2,1,0,0,0,0,0,1,0,1,0,0,65.0,12,70.7,19.799999999999997
22,6,85,2,2,4,3,3,0,0,0,1,1,0,0,0,0,0,0,80.5,15,81.55,6.0
22,3,79,2,4,1,2,2,0,1,0,0,0,0,1,1,0,0,0,49.5,21,55.05,27.4
22,3,85,0,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,58.5,15,61.349999999999994,17.0
29,4,79,2,7,2,2,2,0,1,1,0,0,1,0,1,0,0,0,51.5,21,49.25,39.4
22,1,83,1,3,2,2,2,1,1,0,0,1,0,0,0,0,1,0,40.5,17,51.15,22.8
23,3,83,1,6,1,1,1,0,1,0,0,1,0,0,0,0,1,0,50.5,17,50.949999999999996,31.799999999999997
23,4,91,2,3,3,3,3,0,1,0,1,0,0,1,0,0,0,0,65.5,9,68.64999999999999,14.600000000000001
22,3,85,2,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0,48.5,15,49.55,35.0
20,1,90,1,4,1,2,2,1,1,1,1,0,0,0,0,0,0,0,42.0,10,49.8,25.0
22,5,85,5,6,4,4,4,1,1,0,1,0,0,1,0,0,0,1,55.5,15,54.449999999999996,41.0
19,3,81,0,4,2,2,2,0,1,1,1,0,1,0,0,0,0,0,56.5,19,59.949999999999996,18.6
20,3,86,1,1,3,3,3,0,1,1,0,0,0,0,0,0,1,0,62.0,14,71.0,5.600000000000001
19,5,84,2,6,1,1,1,0,1,1,0,0,0,0,0,0,1,0,64.0,16,60.4,29.4
21,0,79,0,7,1,1,1,1,1,0,0,0,0,0,1,0,0,0,25.5,21,31.049999999999997,43.4
26,5,70,3,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,58.0,30,60.99999999999999,29.0
17,6,77,3,7,3,3,3,0,0,1,0,0,1,0,0,0,1,0,63.5,23,57.64999999999999,38.2
22,2,77,0,4,2,2,2,0,1,1,0,0,0,1,0,1,0,0,46.5,23,52.949999999999996,23.200000000000003
17,3,86,1,3,2,2,2,0,1,1,1,0,0,0,0,1,0,0,58.0,14,63.39999999999999,15.600000000000001
20,4,81,2,4,3,4,4,0,1,0,1,0,0,0,0,0,0,0,58.5,19,61.349999999999994,23.6
23,4,75,2,5,2,2,2,0,1,0,1,0,1,0,0,1,0,0,53.5,25,55.449999999999996,31.0
21,5,80,1,3,4,3,3,0,1,0,1,0,0,1,1,0,0,0,71.0,20,72.5,12.0
18,4,79,1,7,3,3,3,0,1,0,1,0,0,1,0,0,0,1,54.5,21,51.349999999999994,35.4
19,5,74,0,2,4,3,3,0,1,0,0,1,0,0,1,0,0,0,73.0,26,76.3,5.399999999999999
22,8,93,1,4,3,4,3,0,1,1,1,0,0,1,0,1,0,0,99.5,7,90.04999999999998,2.8000000000000007
19,1,80,2,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,36.0,20,48.0,28.0
21,5,75,3,7,2,2,2,0,1,0,0,1,0,0,1,0,0,0,54.5,25,51.349999999999994,42.0
21,5,68,0,2,2,3,3,1,1,0,0,0,0,1,0,0,1,0,70.0,32,74.2,7.800000000000001
19,2,82,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,43.0,18,43.3,36.2
25,2,86,4,5,2,2,1,0,1,1,0,0,1,0,0,0,1,0,37.0,14,43.9,40.6
22,4,76,2,3,4,4,4,0,1,0,0,0,0,0,0,1,0,0,58.0,24,63.39999999999999,20.6
17,2,83,0,4,1,2,2,0,1,1,0,0,1,0,1,0,0,0,49.5,17,55.05,20.8
21,3,73,2,5,1,1,1,0,1,1,0,1,0,0,1,0,0,0,44.5,27,49.15,34.8
19,4,80,0,6,2,2,2,0,0,0,0,0,1,0,1,0,0,0,60.0,20,57.6,26.0
22,3,90,1,4,3,3,3,0,1,1,0,1,0,0,0,1,0,0,58.0,10,60.99999999999999,19.0
19,3,80,4,6,1,0,0,0,1,1,0,0,1,0,0,0,0,1,40.0,20,43.6,45.0
20,2,76,1,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0,41.0,24,46.7,32.6
22,2,92,1,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,47.0,8,48.5,31.200000000000003
22,4,83,0,3,3,3,3,0,1,1,1,0,1,0,0,0,1,0,67.5,17,70.05,9.8
18,3,78,0,5,1,1,1,0,0,1,0,0,0,1,0,0,1,0,53.0,22,55.099999999999994,24.799999999999997
20,4,75,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0,56.5,25,57.55,27.0
20,4,72,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,55.0,28,56.5,28.200000000000003
19,4,85,4,5,2,2,2,0,1,0,1,1,0,0,0,1,0,0,52.5,15,54.75,35.0
24,3,88,3,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,41.0,12,37.1,52.8
21,2,82,0,6,3,3,3,0,0,1,0,0,0,0,0,0,0,0,45.0,18,47.099999999999994,31.200000000000003
