course_code,course_name,level,programme,category,year,specialisation,source_status,source_url
CRS022,Data Science Principles,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Data Science,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS023,Data Mining,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Data Science,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS024,Big Data Technologies,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Data Science,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS025,Computer and Network Security,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Cyber Security,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS026,Computer Intrusion Detection,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Cyber Security,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS027,Computer Crime and Digital Evidence,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Cyber Security,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS028,Wireless Networks and Security,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Cyber Security,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS029,Introduction to Mobile Computing,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Mobile Computing,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS030,Mobile Applications Development,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Mobile Computing,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS031,Wireless Networks and Security,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Mobile Computing,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS032,Internet of Things,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Mobile Computing,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS033,Computer Vision and Natural Language Processing,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Artificial Intelligence,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS034,Data Analytics and Machine Learning,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Artificial Intelligence,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS035,Cognitive Computing and Applications,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Artificial Intelligence,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS036,Big Data Technologies,Undergraduate Degree,Bachelor of Computer Science (Honours),Specialisation Module,,Artificial Intelligence,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS037,Penghayatan Etika dan Peradaban / Bahasa Melayu Komunikasi 2,Undergraduate Degree,Bachelor of Computer Science (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS038,Falsafah dan Isu Semasa,Undergraduate Degree,Bachelor of Computer Science (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS039,Emotional Intelligence in Action,Undergraduate Degree,Bachelor of Computer Science (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS040,Kursus Integriti Dan Antirasuah (Integrity And Anti-Corruption),Undergraduate Degree,Bachelor of Computer Science (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS041,Social Innovation Project,Undergraduate Degree,Bachelor of Computer Science (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-computer-science.html
CRS042,Principles of Software Engineering,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS043,Database Systems,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS044,Computer Architecture and Organisation,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS045,Discrete Structures,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS046,Object Oriented Programming,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS047,Operating System,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS048,Advanced Programming,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS049,System Analysis and Design,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS050,Software Testing,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS051,Software Design,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS052,Computer Networks,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS053,Software Project Management,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS054,Requirement Engineering,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS055,Software Construction,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS056,Software Lifecycle,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS057,Software Safety and Security,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS058,Capstone Project I,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS059,Human Computer Interaction,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS060,Professional Practices and Information Security,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS061,Capstone Project II,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS062,Industrial Training,Undergraduate Degree,Bachelor of Software Engineering (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS063,Penghayatan Etika dan Peradaban / Bahasa Melayu Komunikasi 2,Undergraduate Degree,Bachelor of Software Engineering (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS064,Falsafah dan Isu Semasa,Undergraduate Degree,Bachelor of Software Engineering (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS065,Emotional Intelligence in Action,Undergraduate Degree,Bachelor of Software Engineering (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS066,Kursus Integriti Dan Antirasuah (Integrity And Anti-Corruption),Undergraduate Degree,Bachelor of Software Engineering (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS067,Social Innovation Project,Undergraduate Degree,Bachelor of Software Engineering (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-software-engineering.html
CRS068,Database Systems,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS069,Computer Architecture and Organisation,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS070,Discrete Structures,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS071,Object Oriented Programming,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS072,Data Structures and Algorithms,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS073,Operating Systems,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS074,Systems Analysis and Design,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS075,Web and Mobile Systems,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 1,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS076,Computer Networks,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS077,System Integration and Architecture,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS078,System Paradigms,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS079,Ideating Start-up,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 2,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS080,Capstone Project I,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS081,Professional Practices and Information Security,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS082,Capstone Project II,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS083,Human Computer Interaction,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS084,Industrial Training,Undergraduate Degree,Bachelor of Information Technology (Honours),Common Core,Year 3,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS085,Mobile Applications Development,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Internet Technologies,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS086,Wireless Networks and Security,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Internet Technologies,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS087,Introduction to Cloud Computing,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Internet Technologies,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS088,Internet of Things,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Internet Technologies,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS089,Data Mining,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Business Intelligence and Analytics,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS090,Marketing Analytics,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Business Intelligence and Analytics,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS091,Market Intelligence and Data Visualisation,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Business Intelligence and Analytics,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS092,Social Media Analytics,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Business Intelligence and Analytics,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS093,Games Development,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Game Design,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS094,Games Studies,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Game Design,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS095,Experiential Design,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Game Design,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS096,3D Modeling,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Game Design,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS097,Machine Learning and Intelligent Systems,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Digital Transformation,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS098,Digital Transformation,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Digital Transformation,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS099,Artificial Intelligence-enabled Enterprise Automation,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Digital Transformation,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS100,Interactive and Digital Marketing,Undergraduate Degree,Bachelor of Information Technology (Honours),Specialisation Module,,Digital Transformation,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS101,Penghayatan Etika dan Peradaban / Bahasa Melayu Komunikasi 2,Undergraduate Degree,Bachelor of Information Technology (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS102,Falsafah dan Isu Semasa,Undergraduate Degree,Bachelor of Information Technology (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS103,Emotional Intelligence in Action,Undergraduate Degree,Bachelor of Information Technology (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS104,Kursus Integriti Dan Antirasuah (Integrity And Anti-Corruption),Undergraduate Degree,Bachelor of Information Technology (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
CRS105,Social Innovation Project,Undergraduate Degree,Bachelor of Information Technology (Honours),University Core,,,official_public,https://university.taylors.edu.my/en/study/explore-all-programmes/computer-science/undergraduate/bachelor-of-information-technology.html
