Age,Study_Hours_per_Day,Attendance_Rate,Assignment_Delay_Days,Stress_Index,GPA,Semester_GPA,CGPA,Dropout,Internet_Access_Yes,Part_Time_Job_Yes,Scholarship_Yes,Semester_Year 2,Semester_Year 3,Semester_Year 4,Department_Business,Department_CS,Department_Engineering,Department_Science
18,2,64,4,7,2,2,2,0,1,0,1,0,0,0,0,0,0,1
22,3,80,1,5,2,2,2,0,1,0,0,0,1,0,1,0,0,0
23,3,81,1,4,1,1,1,0,1,1,0,1,0,0,0,1,0,0
19,3,81,1,9,1,1,1,1,1,0,0,1,0,0,1,0,0,0
23,6,79,3,3,2,2,2,0,1,1,0,0,1,0,0,0,0,1
21,6,78,2,6,2,2,2,0,1,0,0,0,1,0,0,1,0,0
22,5,87,1,5,2,3,3,0,1,1,1,0,0,0,0,0,0,0
25,4,96,0,6,2,2,2,1,1,0,0,0,1,0,0,0,1,0
20,3,100,2,6,4,4,4,0,1,0,1,1,0,0,0,0,0,0
19,2,90,1,3,4,3,3,0,1,1,0,0,1,0,0,0,0,0
19,4,63,0,3,0,1,0,0,1,1,1,0,1,0,0,0,0,1
19,5,90,0,3,4,3,3,0,0,1,1,0,0,1,0,0,1,0
20,5,90,3,4,4,3,3,0,1,0,0,1,0,0,0,1,0,0
21,4,81,1,5,1,0,0,0,1,1,1,0,0,0,0,0,1,0
21,4,89,2,4,3,3,3,0,1,0,1,0,1,0,0,0,1,0
22,3,84,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1
21,3,81,0,7,2,2,2,0,1,0,0,1,0,0,1,0,0,0
24,2,84,4,2,1,1,1,0,1,0,0,1,0,0,1,0,0,0
20,3,77,1,6,2,2,1,0,1,0,0,0,0,1,1,0,0,0
27,4,67,2,4,3,3,3,0,1,1,0,0,1,0,1,0,0,0
22,3,67,6,7,0,0,0,1,1,0,1,0,0,0,0,0,1,0
19,2,89,5,4,2,2,2,0,1,0,0,0,1,0,0,0,0,1
18,4,73,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0
22,4,69,2,5,3,2,2,0,0,0,0,1,0,0,1,0,0,0
20,3,69,3,4,1,1,1,0,1,1,1,1,0,0,0,0,0,1
22,3,78,0,7,2,2,2,0,1,0,1,1,0,0,0,0,1,0
22,0,94,1,6,1,1,1,0,1,0,1,0,1,0,0,0,0,0
20,4,80,1,4,3,3,3,0,1,1,0,1,0,0,0,1,0,0
19,4,70,2,3,4,3,4,0,1,0,1,1,0,0,0,0,0,0
17,5,93,1,3,3,3,3,0,0,1,0,0,0,1,0,0,1,0
20,3,84,1,4,2,2,2,0,1,0,0,0,0,0,1,0,0,0
22,4,79,1,8,1,1,2,0,1,0,0,0,0,1,1,0,0,0
21,5,85,3,5,2,2,2,0,0,0,0,0,0,0,0,1,0,0
18,4,82,0,7,2,2,2,0,1,1,1,0,0,1,0,1,0,0
21,4,76,1,2,2,2,2,0,1,1,0,0,1,0,0,0,0,1
21,4,77,2,2,3,2,2,0,1,0,0,0,0,0,0,0,0,0
19,1,72,4,3,3,3,3,0,1,1,1,0,0,1,0,0,0,0
21,4,78,3,6,0,0,0,1,1,1,1,0,0,1,1,0,0,0
21,2,89,0,5,2,3,3,0,0,0,0,0,1,0,0,0,0,0
18,2,89,0,7,1,1,1,0,1,1,0,0,0,0,0,0,0,0
21,4,80,2,7,1,2,2,0,1,0,0,1,0,0,0,0,1,0
22,5,80,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,1
23,5,73,1,7,2,2,2,0,1,0,0,0,0,0,0,0,0,1
23,4,85,1,8,3,2,2,0,1,1,1,0,1,0,0,0,0,0
18,4,70,4,7,2,2,2,0,0,0,0,0,0,0,0,1,0,0
18,5,88,5,2,2,2,2,0,0,0,0,0,0,1,0,1,0,0
22,6,85,2,2,4,3,3,0,0,0,1,1,0,0,0,0,0,0
22,3,79,2,4,1,2,2,0,1,0,0,0,0,1,1,0,0,0
22,3,85,0,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0
29,4,79,2,7,2,2,2,0,1,1,0,0,1,0,1,0,0,0
22,1,83,1,3,2,2,2,0,1,0,0,1,0,0,0,0,1,0
23,3,83,1,6,1,1,1,0,1,0,0,1,0,0,0,0,1,0
23,4,91,2,3,3,3,3,0,1,0,1,0,0,1,0,0,0,0
22,3,85,2,6,1,1,1,1,0,0,0,1,0,0,0,0,0,0
20,1,90,1,4,1,2,2,1,1,1,1,0,0,0,0,0,0,0
22,5,85,5,6,4,4,4,0,1,0,1,0,0,1,0,0,0,1
19,3,81,0,4,2,2,2,0,1,1,1,0,1,0,0,0,0,0
20,3,86,1,1,3,3,3,0,1,1,0,0,0,0,0,0,1,0
19,5,84,2,6,1,1,1,0,1,1,0,0,0,0,0,0,1,0
21,0,79,0,7,1,1,1,0,1,0,0,0,0,0,1,0,0,0
26,5,70,3,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0
17,6,77,3,7,3,3,3,0,0,1,0,0,1,0,0,0,1,0
22,2,77,0,4,2,2,2,0,1,1,0,0,0,1,0,1,0,0
17,3,86,1,3,2,2,2,0,1,1,1,0,0,0,0,1,0,0
20,4,81,2,4,3,4,4,0,1,0,1,0,0,0,0,0,0,0
23,4,75,2,5,2,2,2,1,1,0,1,0,1,0,0,1,0,0
21,5,80,1,3,4,3,3,0,1,0,1,0,0,1,1,0,0,0
18,4,79,1,7,3,3,3,0,1,0,1,0,0,1,0,0,0,1
19,5,74,0,2,4,3,3,0,1,0,0,1,0,0,1,0,0,0
22,8,93,1,4,3,4,3,0,1,1,1,0,0,1,0,1,0,0
19,1,80,2,3,2,2,2,0,1,1,0,0,0,0,0,0,0,0
21,5,75,3,7,2,2,2,0,1,0,0,1,0,0,1,0,0,0
21,5,68,0,2,2,3,3,0,1,0,0,0,0,1,0,0,1,0
19,2,82,0,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25,2,86,4,5,2,2,1,0,1,1,0,0,1,0,0,0,1,0
22,4,76,2,3,4,4,4,0,1,0,0,0,0,0,0,1,0,0
17,2,83,0,4,1,2,2,1,1,1,0,0,1,0,1,0,0,0
21,3,73,2,5,1,1,1,1,1,1,0,1,0,0,1,0,0,0
19,4,80,0,6,2,2,2,0,0,0,0,0,1,0,1,0,0,0
22,3,90,1,4,3,3,3,0,1,1,0,1,0,0,0,1,0,0
19,3,80,4,6,1,0,0,1,1,1,0,0,1,0,0,0,0,1
20,2,76,1,5,0,0,0,0,1,1,0,0,1,0,0,0,1,0
22,2,92,1,6,0,0,0,1,1,1,0,1,0,0,0,0,0,0
22,4,83,0,3,3,3,3,0,1,1,1,0,1,0,0,0,1,0
18,3,78,0,5,1,1,1,0,0,1,0,0,0,1,0,0,1,0
20,4,75,1,5,0,0,0,0,1,0,0,0,0,1,0,0,1,0
20,4,72,1,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0
19,4,85,4,5,2,2,2,1,1,0,1,1,0,0,0,1,0,0
24,3,88,3,9,1,1,1,1,1,0,0,0,0,0,0,0,0,0
21,2,82,0,6,3,3,3,0,0,1,0,0,0,0,0,0,0,0
18,4,80,2,6,2,2,2,0,1,1,0,0,0,1,0,0,0,0
23,4,71,1,5,3,2,3,0,1,0,0,0,1,0,0,1,0,0
25,5,70,1,6,2,2,2,1,0,0,0,0,0,1,1,0,0,0
23,2,82,1,5,0,0,0,1,0,1,0,1,0,0,0,0,0,1
17,1,82,3,8,0,0,0,1,1,0,0,0,0,1,0,0,0,0
19,3,85,2,5,1,1,1,0,1,0,0,0,1,0,0,0,1,0
23,2,85,3,7,2,2,2,0,1,1,0,0,0,1,0,1,0,0
19,2,78,0,9,0,0,0,1,1,0,1,1,0,0,0,0,0,1
22,0,96,2,6,1,1,1,0,1,1,0,1,0,0,0,0,0,0
22,4,73,2,5,1,1,1,0,0,0,1,0,0,0,0,0,0,1
19,2,78,1,4,4,3,3,0,1,1,0,0,0,0,1,0,0,0
20,2,88,2,4,3,3,3,0,1,1,0,0,1,0,0,0,1,0
17,3,76,3,6,1,1,1,1,1,0,0,0,1,0,0,0,0,0
18,4,82,1,5,2,2,2,1,1,1,1,1,0,0,0,1,0,0
20,3,77,2,6,2,2,2,0,1,1,0,0,0,0,1,0,0,0
18,2,78,1,4,3,3,3,0,1,0,1,1,0,0,0,0,0,0
24,5,71,3,5,1,2,2,0,1,1,0,0,1,0,0,0,1,0
17,4,88,3,5,3,3,3,0,1,0,0,0,1,0,0,0,0,1
20,4,88,0,3,3,4,4,0,1,0,0,0,1,0,1,0,0,0
21,3,88,2,4,1,1,1,0,1,0,0,1,0,0,0,0,1,0
24,5,78,2,4,4,3,3,0,1,0,1,1,0,0,0,0,0,0
17,4,84,2,10,0,0,0,1,1,0,0,1,0,0,1,0,0,0
23,4,98,0,7,1,1,1,1,1,1,0,0,1,0,0,0,1,0
21,5,84,3,3,4,3,3,0,1,0,0,0,0,1,0,0,0,1
18,1,72,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0
22,4,75,1,3,0,1,1,1,1,1,0,0,0,1,1,0,0,0
21,3,74,0,8,2,2,2,0,0,1,1,0,1,0,1,0,0,0
19,3,92,3,3,3,3,3,0,1,1,0,0,1,0,0,1,0,0
21,5,85,1,8,2,2,2,0,1,1,0,0,1,0,1,0,0,0
20,5,69,1,5,3,3,3,0,1,0,1,0,0,1,0,0,1,0
21,5,92,1,5,3,3,3,0,1,1,0,1,0,0,0,0,1,0
22,4,86,0,3,3,3,3,0,1,1,0,1,0,0,0,1,0,0
24,3,83,1,7,2,2,2,0,1,0,1,0,1,0,0,0,0,0
18,5,94,0,6,2,3,3,0,1,0,0,0,1,0,0,0,1,0
25,2,80,2,7,3,2,2,0,1,0,0,0,1,0,0,1,0,0
17,6,92,1,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0
20,3,64,1,6,0,0,0,0,1,1,1,0,0,1,0,0,0,1
22,3,76,0,8,2,2,2,0,1,0,1,0,1,0,0,0,0,0
21,3,88,1,6,2,1,1,0,1,1,0,1,0,0,1,0,0,0
19,4,95,1,3,2,2,2,0,1,0,1,0,1,0,1,0,0,0
20,4,72,3,5,1,1,1,0,1,0,1,0,0,0,1,0,0,0
19,3,78,2,6,1,1,1,1,0,0,0,0,0,1,0,1,0,0
19,4,83,1,8,1,1,1,0,1,0,0,0,0,1,0,0,0,0
22,3,74,2,6,4,3,3,0,1,0,0,0,0,0,0,0,0,1
21,0,79,3,7,1,1,1,0,1,0,1,0,0,0,0,0,0,0
19,7,94,3,6,3,3,3,0,1,0,1,0,0,1,1,0,0,0
23,6,73,1,3,4,4,4,0,1,1,1,0,0,0,0,0,1,0
21,2,80,4,7,2,2,2,1,1,0,0,0,0,1,0,0,0,0
22,3,84,4,5,3,3,3,0,1,1,0,1,0,0,0,1,0,0
22,3,85,4,9,2,2,2,0,1,0,1,0,0,0,1,0,0,0
19,4,75,3,2,2,2,2,0,1,0,1,1,0,0,0,0,0,1
19,4,80,0,3,1,2,2,0,1,1,0,1,0,0,0,0,0,1
22,2,79,2,6,1,1,1,0,0,0,0,0,0,0,0,1,0,0
22,4,84,0,5,2,2,2,0,1,0,0,0,0,1,0,0,1,0
21,4,72,4,5,1,1,1,0,0,0,1,0,1,0,0,0,1,0
21,6,92,0,5,3,4,3,0,1,1,0,0,1,0,0,0,0,0
23,3,84,0,5,2,2,2,0,1,0,0,1,0,0,0,0,0,0
19,5,90,4,4,2,3,3,0,1,0,0,1,0,0,0,0,0,0
22,4,77,2,7,3,3,3,0,1,0,0,1,0,0,0,1,0,0
20,2,72,7,4,1,1,1,1,0,0,1,0,0,0,0,0,1,0
20,4,74,2,6,1,0,1,0,1,0,0,0,0,1,0,0,0,0
23,4,87,1,5,4,3,4,0,1,1,0,1,0,0,0,0,0,0
22,5,78,0,8,0,0,0,1,1,0,1,0,0,1,0,0,1,0
22,2,69,2,1,3,3,3,0,1,0,0,0,0,0,0,1,0,0
23,3,83,2,3,1,2,2,0,1,0,0,0,1,0,0,0,1,0
21,5,79,4,9,1,1,1,0,1,0,1,0,1,0,0,0,1,0
22,1,79,4,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20,2,68,2,4,2,2,2,0,1,0,0,1,0,0,0,0,0,0
21,4,69,2,3,1,1,1,0,1,1,0,0,0,1,0,0,1,0
20,4,77,0,4,2,2,2,0,1,1,0,0,1,0,0,0,0,0
21,3,74,2,6,2,2,2,0,1,0,1,0,0,0,0,0,1,0
22,4,62,1,5,3,3,3,0,1,1,1,0,0,1,0,0,1,0
19,3,88,1,6,3,3,3,0,1,1,0,1,0,0,0,0,0,1
25,5,73,2,2,2,1,1,0,1,0,0,0,1,0,0,1,0,0
18,4,74,1,5,2,2,2,0,1,0,1,0,0,1,0,0,1,0
18,2,77,2,6,3,3,3,0,1,0,0,0,1,0,0,0,1,0
23,4,74,3,6,2,2,2,0,1,0,0,0,0,1,0,0,1,0
22,3,80,2,5,2,2,2,0,1,1,1,0,0,1,0,1,0,0
22,3,90,3,3,2,2,2,0,1,1,0,0,0,0,0,1,0,0
22,2,79,4,3,1,1,1,0,1,0,1,1,0,0,1,0,0,0
21,2,84,1,7,2,2,2,0,1,0,0,0,0,0,0,1,0,0
19,2,63,5,4,1,2,2,1,0,0,1,0,0,0,0,0,0,0
21,5,82,4,4,4,4,4,0,1,1,0,0,0,0,0,0,0,0
19,4,93,2,5,1,1,1,1,1,0,0,1,0,0,0,0,0,0
23,5,82,4,3,2,2,2,0,1,0,0,0,1,0,0,0,1,0
20,2,83,2,6,1,1,1,0,1,1,0,0,1,0,0,0,0,1
19,3,84,2,3,3,3,3,0,1,1,1,1,0,0,0,1,0,0
20,3,94,3,7,0,0,0,1,1,0,0,0,0,1,0,1,0,0
21,3,92,1,3,3,3,3,0,1,1,0,0,1,0,0,0,1,0
19,4,73,1,5,2,2,2,0,1,0,0,1,0,0,1,0,0,0
19,4,91,2,6,3,3,3,0,1,1,0,1,0,0,0,0,0,1
21,5,93,2,6,2,1,1,1,1,1,1,0,1,0,0,0,0,0
21,1,68,3,5,2,2,2,0,1,1,1,1,0,0,0,0,1,0
19,6,82,2,4,4,3,3,0,1,1,0,0,0,1,0,0,1,0
20,2,86,3,8,0,0,0,0,0,1,1,0,0,1,1,0,0,0
21,4,59,0,5,1,2,2,1,1,0,0,1,0,0,0,0,0,0
17,4,76,2,5,2,2,2,0,1,1,0,1,0,0,0,0,1,0
17,4,76,0,2,3,3,3,0,1,0,0,0,1,0,0,0,0,1
19,5,76,2,5,3,3,3,0,1,0,1,0,0,0,0,1,0,0
20,5,90,0,5,3,3,3,0,1,1,0,0,1,0,0,0,1,0
21,4,81,2,3,2,3,3,0,1,1,1,0,0,1,0,0,1,0
24,4,85,0,4,3,3,3,0,1,0,0,0,0,1,0,0,0,0
22,2,82,2,5,3,3,3,0,1,1,1,0,1,0,0,0,1,0
20,3,100,3,6,2,3,3,0,1,0,0,0,1,0,1,0,0,0
21,2,90,0,3,2,2,2,1,1,0,0,1,0,0,0,1,0,0
18,0,81,3,3,1,1,1,1,1,1,0,1,0,0,1,0,0,0
21,2,79,1,5,3,3,3,0,1,0,1,0,0,1,1,0,0,0
20,2,76,2,4,4,3,3,0,1,0,1,0,0,1,0,1,0,0
21,2,74,3,5,2,2,2,0,1,1,1,1,0,0,0,1,0,0
19,4,72,1,8,0,0,0,1,1,1,0,1,0,0,1,0,0,0
